id,phone,company_name,industry,annual_revenue,account_number_external_id,number_of_locations,number_of_employees,sla,sla_serial_number
1,992-768-2185,Franco-Nevada Corporation,Precious Metals,20256053,6cc07a88-8aed-471e-bc2a-edbe4b71ebd5,13,310,Gold,061105999
2,786-877-6624,Andina Acquisition Corp. II,Business Services,4224863,cff7d83c-b535-4c6a-bd1c-5c44000a16cd,15,86,Silver,111909867
3,358-809-8745,Fair Isaac Corporation,Business Services,92564145,c723b932-28f0-41a9-8d3e-fed39bd2a19a,7,44,Platinum,091408446
4,999-345-5305,First Trust Alternative Absolute Return Strategy ETF,n/a,18421385,998e8b10-90cd-407f-86e5-d393086dec40,5,650,Bronze,071121808
5,390-615-3702,Special Opportunities Fund Inc.,n/a,31179164,600f5b60-44b1-434a-9b07-15be4b85e629,4,963,Platinum,053104869
6,684-458-7661,"REV Group, Inc.",Auto Manufacturing,94983091,0ba26d1f-dcdf-4ae8-93d8-9a0d7143c3b8,4,300,Platinum,091000080
7,682-423-9240,Sherwin-Williams Company (The),RETAIL: Building Materials,96945305,ce22413d-7858-46fa-934c-1ac7eed268d0,10,417,Bronze,064000017
8,573-298-4169,Barington/Hilco Acquisition Corp.,Business Services,47497733,c9e982aa-f5ce-477d-a2a6-6c2da987b617,6,877,Bronze,021502095
9,472-229-5037,Hornbeck Offshore Services,Marine Transportation,56641189,de22a7bf-8eaf-44aa-9f38-7056bbfa4e72,4,754,Platinum,271972116
10,487-423-1550,Occidental Petroleum Corporation,Oil & Gas Production,22326374,2010c6d5-2533-42f3-8ca8-c26b414a0189,18,159,Silver,123205054
11,950-731-9288,Ames National Corporation,Major Banks,26255867,5e74d936-1dc0-4d1f-a1f0-0c8c4833e929,20,475,Bronze,065402517
12,369-554-4666,Verizon Communications Inc.,Telecommunications Equipment,48294067,c9388992-30a1-46e0-a2de-842ae9ae7122,11,615,Silver,125108560
13,616-856-8817,First BanCorp.,Major Banks,69029297,eec138fa-4305-420f-a935-589b9d234bd8,7,494,Gold,083901650
14,850-821-6110,"Micron Technology, Inc.",Semiconductors,58012200,4828dc50-2622-46a5-9701-3aa9d8a64b20,10,841,Silver,113118342
15,781-997-6997,"First Industrial Realty Trust, Inc.",Real Estate Investment Trusts,21085231,69548009-d03c-48c1-bb57-fc2255320c08,2,494,Silver,091310628
16,397-768-3531,"MetLife, Inc.",n/a,89420313,99dd6807-b59e-4370-8d0f-dfe8ed333a77,18,961,Silver,236073474
17,698-159-6815,Adtalem Global Education Inc.,Other Consumer Services,47412686,56cdf344-73f1-48a4-9e84-79dd65d1548c,6,455,Bronze,072000096
18,374-976-7572,"Boston Private Financial Holdings, Inc.",Major Banks,91383247,c17a99ac-14aa-4fda-8077-9fa1ba8baee8,16,813,Gold,122242924
19,191-162-5128,"Badger Meter, Inc.",Industrial Machinery/Components,37751084,1f43d145-bb49-47e6-ad98-4e1d7e0008b6,1,53,Platinum,262286455
20,117-280-0830,Ellington Residential Mortgage REIT,Real Estate Investment Trusts,53513332,1726f02d-5217-4b04-b492-34a5468a84fc,12,637,Silver,061292433
21,943-469-8450,"CRA International,Inc.",Other Consumer Services,58001023,cf57def4-637e-4b3a-a13b-7e617db2f229,4,206,Gold,114905499
22,943-270-7066,Carnival Corporation,Marine Transportation,42546968,0fab197c-df7a-4b14-b8d1-96ef9a513b30,18,721,Platinum,011201380
23,324-350-6707,"Okta, Inc.",Computer Software: Prepackaged Software,23382300,fd8f96e4-3cf0-4325-ab82-1d796c73a0c5,18,69,Platinum,021313103
24,721-542-5176,Independent Bank Corporation,Major Banks,2136620,6f4bcae5-9dc0-452e-82ab-e024928971f9,2,977,Bronze,041202812
25,438-963-7903,Nuveen Tax-Advantaged Dividend Growth Fund,n/a,85971667,64150587-f470-4a49-96dd-efc763690d5f,9,916,Silver,314072986
26,619-150-9690,Pitney Bowes Inc.,Office Equipment/Supplies/Services,63464415,65d908ca-a1d2-48f0-bdb2-4dcb74ed78ee,12,289,Silver,084202219
27,557-229-8979,ClearBridge Energy MLP Fund Inc.,n/a,76270495,9b27fd88-deb6-474e-9e5d-95ee5580b203,1,671,Gold,241270039
28,193-431-7239,BLDRS Asia 50 ADR Index Fund,n/a,69872103,3125f54f-9b55-48e4-b3fa-3b0b02502b42,19,460,Gold,111924305
29,706-325-0053,Arrow Financial Corporation,Major Banks,43339834,be811ae9-e3bb-4e39-b7ff-21522f18626b,2,787,Gold,071900883
