id,contract_line_number,gen_type,gen_type_capacity
1,c6640b68-b4da-413e-b8c5-7467f2b2e799,diesel,medium
2,d62f38e0-a50c-4d97-9373-fbaa3e7b250a,propane,low
3,c6c70261-368d-4408-a792-0741aea2ff62,gasoline,medium
4,b011a50e-0868-4718-9767-f4e63e215896,gasoline,low
5,141a2613-2cbe-4c49-9225-95d3da4f6312,gasoline,low
6,244f39f9-932e-45b1-bf03-27c9159089f7,propane,low
7,e0f14516-8253-4cb3-bfce-ad458d4a1743,diesel,low
8,bd44deb1-7abe-42f6-8ef5-1a05f3733f28,diesel,large
9,1c0219db-d328-4044-bf80-51296aa83d29,propane,large
10,648feedb-baed-4e3f-a39e-2e13b6d41754,gasoline,large
11,c08c0092-efe0-4e60-b87c-a3c1b6ba44e7,gasoline,large
12,89b620ea-1502-4bbd-bd29-ef781c93d6b1,gasoline,medium
13,ce00dc8d-4c98-4793-95dc-d9562ab79bac,gasoline,large
14,fee16a6c-b4ec-43eb-93f2-f3f5e035c503,gasoline,low
15,6cf92b17-90db-457f-8b3e-55b9b373a8ce,gasoline,medium
16,96fd20c7-ff1e-42cf-9c96-6da6fd62e25a,propane,low
17,aa72eb4b-97e5-452c-a069-0dd1a00da789,gasoline,large
18,5025291d-b580-4641-913a-69affa790409,diesel,large
19,05004ed9-8cf1-469b-83a5-b3b6921cf2af,propane,large
20,1c8fde39-e554-4270-9c20-796d8ce32ed0,gasoline,large
21,bb3cc080-e11e-424d-9f39-0924c23ebc81,diesel,large
22,2e7e7fd8-ed38-4c46-aa96-b334d3d56080,diesel,large
23,e7ff4b84-69c5-41cf-a948-58ecc82998ec,diesel,large
24,399a62b7-6445-43c9-adb5-f750dd48d560,diesel,large
25,83af09fe-7d29-4edb-97d0-562da04ac87c,diesel,low
26,871baa65-fd77-4b65-9d29-5fe1ef40e0e5,diesel,large
27,d4022549-fc30-4a19-bce9-4c349a8cff44,gasoline,low
28,9a3d74d4-1b2b-4e73-b39b-07b409514ef8,gasoline,low
29,dedca403-bae6-49e3-a603-fdf7f01c61f0,propane,medium
30,6c33d978-ce22-422d-967a-17272db96c0d,gasoline,medium
31,5aa1894c-7fbf-4b9e-aaf0-ee5936946c33,diesel,medium
32,c5d730a1-5c30-4c9f-9dd8-4a313c80c4b3,diesel,large
33,7af0e189-c7ca-45fb-8585-50ea96998569,propane,medium
34,f33f5125-e66a-40b4-aa69-1e4ba41d13d4,gasoline,medium
35,8591ad56-d615-4738-8c9e-9d45b175ff79,gasoline,large
36,d1b2b74e-b9e1-4634-b541-4155a332ecea,diesel,low
37,4b94be71-1957-4f0c-87ae-86527f8e84e1,propane,large
38,021054a0-7f3d-4091-88c5-a1873d23a720,gasoline,medium
39,51da8329-54a7-42f0-958e-6a7894f23948,gasoline,medium
40,bfc04022-18bc-4ce8-87d4-a251cac0e085,propane,medium
41,dd36a3d5-b2e4-4a1e-9d14-80c1f8f4e63e,propane,low
42,31e269a6-3c86-476f-aa0c-147fa6d24049,gasoline,low
43,88bdee65-da1c-484e-987f-c85d50fa9d38,propane,medium
44,e06e1da2-26c9-4a8e-a533-26d1320f08a6,propane,low
45,b02e5550-691e-4a38-b842-bbb3898b4fb7,diesel,low
46,9d0f71d2-a04a-4a27-b1e0-a68df080f24a,diesel,medium
47,eaa17b35-d2ac-4637-966d-7c667eb3e69e,diesel,medium
48,b5e0971c-abc1-4d02-b536-5256ef67c82b,gasoline,medium
49,2fe26537-3116-467c-9a91-c104b3c514af,propane,low
50,4349a78f-80d8-4d0a-a37b-5455f216bd05,gasoline,large
51,82c6cfd0-e287-4cd1-921d-4c83e6c50276,gasoline,medium
52,3b55a081-6505-4e76-b6d1-3caf4f310451,propane,medium
53,f8f81fff-71de-4d7f-9be8-6aa9f86acbc6,diesel,medium
54,ebf1b0e1-efde-447c-ba07-504e7059e50a,gasoline,low
55,11779bfb-c2a9-4bf3-b404-0f906ef685f7,propane,medium
56,45f092bb-bc26-4f21-9f9c-e03f61ff47eb,diesel,low
57,b593ec8e-0d90-4345-a944-c9444b4830ba,gasoline,low
58,a46b2c5f-5642-4c0b-adb3-76588d0f9ca4,propane,low
