id,gen_type,gen_type_capacity,installation
1,propane,large,portable
2,diesel,large,portable
3,propane,large,high
4,diesel,large,low
5,propane,low,high
6,diesel,large,low
7,diesel,medium,high
8,diesel,medium,medium
9,propane,low,low
10,propane,low,medium
11,propane,medium,high
12,propane,low,low
13,diesel,low,medium
14,diesel,medium,low
15,gasoline,large,low
16,gasoline,large,low
17,propane,medium,medium
18,diesel,large,portable
19,gasoline,low,low
20,propane,large,high
21,gasoline,large,low
22,gasoline,low,high
23,gasoline,large,portable
24,diesel,medium,low
25,gasoline,low,high
26,diesel,low,medium
27,diesel,medium,portable
28,propane,low,portable
29,propane,large,portable
30,diesel,large,medium
31,gasoline,low,high
32,gasoline,large,medium
33,propane,large,low
34,diesel,large,medium
35,gasoline,medium,portable
36,diesel,medium,high
37,diesel,low,low
38,gasoline,medium,medium
39,gasoline,low,medium
40,diesel,medium,portable
41,diesel,large,medium
42,propane,large,portable
43,diesel,large,low
44,diesel,low,low
45,propane,low,medium
46,gasoline,large,high
47,diesel,medium,low
48,gasoline,medium,high
49,propane,large,portable
50,propane,large,high
51,diesel,medium,high
52,gasoline,medium,medium
53,propane,large,high
54,gasoline,low,medium
55,propane,large,low
56,diesel,low,low
57,propane,large,high
58,diesel,low,high
59,diesel,low,medium
60,propane,medium,medium
61,gasoline,medium,low
62,propane,medium,portable
63,propane,low,low
64,diesel,medium,portable
65,gasoline,low,medium
66,propane,large,medium
67,propane,low,high
68,diesel,low,high
69,diesel,medium,medium
70,propane,large,low
71,diesel,low,portable
72,propane,large,low
73,gasoline,low,high
74,propane,large,medium
75,diesel,medium,medium
76,propane,large,high
77,gasoline,large,low
78,diesel,large,high
79,propane,large,high
80,diesel,low,portable
81,diesel,medium,low
82,gasoline,large,high
83,propane,large,high
84,gasoline,low,medium
85,diesel,low,portable
86,propane,medium,high
87,propane,medium,medium
88,diesel,medium,high
89,gasoline,medium,low
90,gasoline,large,portable
91,propane,large,low
92,diesel,medium,medium
93,propane,medium,low
94,gasoline,low,low
95,gasoline,large,portable
96,propane,low,low
97,gasoline,large,medium
98,propane,medium,low
99,propane,large,high
100,gasoline,medium,high
101,diesel,large,low
102,diesel,medium,portable
103,propane,low,medium
104,propane,low,high
105,propane,medium,low
106,gasoline,medium,portable
107,gasoline,medium,high
108,propane,low,portable
109,propane,large,medium
110,diesel,large,medium
111,gasoline,low,medium
112,propane,low,medium
113,diesel,medium,high
114,gasoline,low,low
115,diesel,medium,low
116,diesel,low,low
117,diesel,large,high
118,diesel,medium,medium
119,gasoline,medium,low
120,diesel,low,medium
121,gasoline,medium,portable
122,diesel,medium,medium
123,propane,medium,high
124,diesel,low,low
125,diesel,medium,portable
126,propane,low,low
127,propane,low,medium
128,gasoline,medium,portable
129,diesel,medium,high
130,diesel,low,low
131,gasoline,medium,high
132,gasoline,large,high
133,diesel,low,high
134,diesel,large,high
135,diesel,low,low
136,gasoline,medium,low
137,gasoline,medium,portable
138,gasoline,large,high
139,propane,medium,portable
140,propane,medium,portable
141,gasoline,medium,medium
142,diesel,low,low
143,diesel,medium,portable
144,gasoline,medium,low
145,propane,large,low
146,diesel,low,portable
147,diesel,large,medium
148,diesel,medium,portable
149,gasoline,medium,low
150,propane,medium,medium
151,gasoline,large,low
152,propane,large,low
153,propane,large,medium
154,gasoline,medium,high
155,diesel,large,low
156,diesel,low,low
157,propane,low,high
158,gasoline,large,portable
159,diesel,large,high
160,diesel,low,low
161,gasoline,low,high
162,gasoline,medium,low
163,propane,medium,high
164,gasoline,low,high
165,diesel,medium,low
166,gasoline,low,portable
167,diesel,large,portable
168,gasoline,medium,high
169,gasoline,medium,high
170,diesel,medium,portable
171,propane,low,medium
172,propane,medium,low
173,diesel,low,medium
174,propane,large,low
175,gasoline,low,portable
176,gasoline,low,medium
177,propane,large,low
178,diesel,medium,low
179,propane,low,high
180,gasoline,large,high
181,propane,medium,high
182,diesel,medium,medium
183,gasoline,medium,portable
184,diesel,large,high
185,propane,low,low
186,gasoline,medium,portable
187,diesel,low,low
188,propane,low,low
189,gasoline,medium,low
190,diesel,low,portable
191,diesel,low,portable
192,gasoline,low,low
193,propane,low,portable
194,gasoline,low,portable
195,diesel,medium,medium
196,propane,medium,medium
197,diesel,low,medium
198,diesel,low,high
199,gasoline,low,high
200,propane,low,medium
201,diesel,low,low
202,gasoline,medium,medium
203,propane,low,portable
204,gasoline,medium,medium
205,propane,large,portable
206,gasoline,medium,medium
207,propane,large,high
208,diesel,low,high
209,propane,large,medium
210,propane,medium,low
211,diesel,low,portable
212,diesel,medium,low
213,gasoline,large,portable
214,diesel,low,portable
215,gasoline,low,medium
216,gasoline,large,portable
217,propane,medium,low
218,propane,large,portable
219,diesel,low,low
220,gasoline,low,high
221,diesel,low,low
222,propane,medium,high
223,propane,medium,portable
224,diesel,low,low
225,diesel,low,medium
226,diesel,low,low
227,propane,low,portable
228,propane,low,medium
229,propane,low,medium
230,propane,medium,medium
231,propane,medium,high
